Tiempo Posicion_Euler Velocidad_Euler Posicion_Leapfrog Velocidad_Leapfrog
0.0394 0.081255 -0.922967 0.0812119 -0.922741
0.0395 0.0811627 -0.924999 0.0811196 -0.924771
0.0396 0.0810702 -0.927028 0.081027 -0.926799
0.0397 0.0809775 -0.929054 0.0809342 -0.928824
0.0398 0.0808846 -0.931079 0.0808412 -0.930848
0.0399 0.0807915 -0.933101 0.080748 -0.932869
0.04 0.0806982 -0.935121 0.0806546 -0.934888
0.0401 0.0806047 -0.937138 0.0805611 -0.936904
0.0402 0.080511 -0.939153 0.0804673 -0.938918
0.0403 0.0804171 -0.941166 0.0803733 -0.94093
0.0404 0.080323 -0.943177 0.0802791 -0.942939
0.0405 0.0802286 -0.945185 0.0801847 -0.944946
0.0406 0.0801341 -0.94719 0.0800901 -0.946951
0.0407 0.0800394 -0.949194 0.0799953 -0.948953
0.0408 0.0799445 -0.951195 0.0799003 -0.950953
0.0409 0.0798494 -0.953193 0.0798051 -0.95295
0.041 0.079754 -0.95519 0.0797097 -0.954945
0.0411 0.0796585 -0.957183 0.0796141 -0.956938
0.0412 0.0795628 -0.959175 0.0795183 -0.958928
0.0413 0.0794669 -0.961164 0.0794223 -0.960916
0.0414 0.0793708 -0.963151 0.0793261 -0.962902
0.0415 0.0792745 -0.965135 0.0792298 -0.964885
0.0416 0.0791779 -0.967117 0.0791332 -0.966866
0.0417 0.0790812 -0.969096 0.0790364 -0.968844
0.0418 0.0789843 -0.971073 0.0789394 -0.97082
0.0419 0.0788872 -0.973048 0.0788422 -0.972794
0.042 0.0787899 -0.97502 0.0787448 -0.974765
0.0421 0.0786924 -0.97699 0.0786473 -0.976733
0.0422 0.0785947 -0.978957 0.0785495 -0.978699
0.0423 0.0784968 -0.980922 0.0784515 -0.980663
0.0424 0.0783987 -0.982884 0.0783534 -0.982624
0.0425 0.0783004 -0.984844 0.078255 -0.984583
0.0426 0.0782019 -0.986802 0.0781564 -0.98654
0.0427 0.0781033 -0.988757 0.0780577 -0.988494
0.0428 0.0780044 -0.990709 0.0779587 -0.990445
0.0429 0.0779053 -0.99266 0.0778596 -0.992394
0.043 0.0778061 -0.994607 0.0777603 -0.99434
0.0431 0.0777066 -0.996552 0.0776607 -0.996284
