Tiempo_A,Analitica,Tiempo,Euler,RK4
0.0212,0.979121,3.25195e-86,4.45841e-86,3.25194e-86
0.0213,0.979023,7.98473e-72,2.34148e-57,3.22525e-86
0.0214,0.978925,5.20653e-90,3.21929e-57,2.90702e-33
0.0215,0.978827,5.35307e-38,3.22525e-86,3.25194e-86
0.0216,0.978729,5.22927e-67,2.90702e-33,2.40463e-57
0.0217,0.978632,5.20556e-90,4.25733e-86,4.85186e-33
0.0218,0.978534,1.57076e-76,2.83066e-33,1.21854e-76
0.0219,0.978436,1.13071e-42,2.63182e-52,9.457e-96
0.022,0.978338,1.45189e-47,3.45303e-86,3.60093e+179
0.0221,0.97824,2.71556e-33,6.59067e-43,5.87794e-62
0.0222,0.978142,6.59065e-43,8.05063e-96,8.98878e-96
0.0223,0.978045,3.88811e-33,7.71279e-43,3.27551e+179
0.0224,0.977947,3.22524e-86,3.12302e-33,6.00165e-67
0.0225,0.977849,2.90702e-33,5.59943e-67,6.82473e-38
0.0226,0.977751,3.65409e-86,1.31179e-71,4.17633e-62
0.0227,0.977653,1.53451e-52,1.69054e-52,8.52244e-96
0.0228,0.977556,1.65529e-47,1.30353e-76,2.95321e+179
0.0229,0.977458,3.45303e-86,1.12913e-42,2.10695e-52
0.023,0.97736,6.59067e-43,4.4369e-38,3.22524e-86
0.0231,0.977262,4.75959e-38,1.03931e-42,1.12913e-42
0.0232,0.977165,1.20121e-71,1.31374e-71,2.40494e-57
0.0233,0.977067,6.81671e-38,1.57753e-52,9.04783e-43
0.0234,0.976969,4.45841e-86,1.88708e-259,3.93801e-62
0.0235,0.976872,2.34148e-57,1.21753e-76,1.03318e-47
0.0236,0.976774,3.21929e-57,8.05064e-96,7.69908e-43
0.0237,0.976676,3.22525e-86,3.44011e+179,1.02986e-71
0.0238,0.976579,2.90702e-33,2.10694e-52,2.90255e-57
0.0239,0.976481,4.25733e-86,1.04024e-95,1.4511e-47
0.024,0.976383,2.83066e-33,3.27802e+179,1.57712e-52
0.0241,0.976286,2.63182e-52,6.00165e-67,4.90484e-62
0.0242,0.976188,3.45303e-86,4.47266e-33,4.01709e-57
0.0243,0.97609,6.59067e-43,7.39989e-38,1.30353e-76
0.0244,0.975993,8.05063e-96,8.52792e-96,1.12913e-42
0.0245,0.975895,7.71279e-43,3.92322e+179,1.57712e-52
0.0246,0.975798,3.12302e-33,6.74351e-67,4.90484e-62
0.0247,0.9757,5.59943e-67,1.80641e-259,5.39368e-62
0.0248,0.975603,1.31179e-71,1.21787e-76,2.91002e-33
0.0249,0.975505,1.69054e-52,9.92337e-96,1.7227e-47
0.025,0.975407,1.30353e-76,3.11341e+179,8.98698e-96
0.0251,0.97531,1.12913e-42,1.02898e-71,2.10776e-52
0.0252,0.975212,4.4369e-38,1.08651e-95,9.74595e-72
0.0253,0.975115,1.03931e-42,2.94816e+179,6.77455e-43
0.0254,0.975017,1.31374e-71,6.00165e-67,4.90484e-62
0.0255,0.97492,1.57753e-52,6.82473e-38,1.20032e-71
0.0256,0.974822,1.88708e-259,2.00254e-52,3.22525e-86
0.0257,0.974725,1.21753e-76,1.13296e-95,2.90702e-33
0.0258,0.974627,8.05064e-96,3.43569e+179,3.85518e-86
0.0259,0.97453,3.44011e+179,1.89813e-52,4.31926e-38
0.026,0.974433,2.10694e-52,1.80641e-259,1.6578e-76
0.0261,0.974335,1.04024e-95,1.2182e-76,4.4584e-86
0.0262,0.974238,3.27802e+179,1.1796e-95,1.00566e-47
0.0263,0.97414,6.00165e-67,3.75988e+179,1.89976e-52
0.0264,0.974043,4.47266e-33,2.17463e-76,3.85778e-57
0.0265,0.973945,7.39989e-38,8.98878e-96,2.00259e-76
0.0266,0.973848,8.52792e-96,3.11404e+179,4.25732e-86
0.0267,0.973751,3.92322e+179,6.00165e-67,1.00565e-47
0.0268,0.973653,6.74351e-67,6.82473e-38,9.05628e-43
0.0269,0.973556,1.80641e-259,1.5701e-76,3.22525e-86
0.027,0.973459,1.21787e-76,7.59525e-96,2.90702e-33
0.0271,0.973361,9.92337e-96,3.11215e+179,3.85516e-86
0.0272,0.973264,3.11341e+179,2.52456e-52,4.31927e-38
0.0273,0.973167,1.02898e-71,1.56093e-259,7.70924e-43
0.0274,0.973069,1.08651e-95,1.21854e-76,4.05624e-86
0.0275,0.972972,2.94816e+179,9.457e-96,1.00565e-47
0.0276,0.972875,6.00165e-67,3.60093e+179,8.15939e-43
0.0277,0.972777,6.82473e-38,5.87794e-62,2.31943e-52
0.0278,0.97268,2.00254e-52,8.98878e-96,2.10898e-52
0.0279,0.972583,1.13296e-95,3.27551e+179,3.45301e-86
0.028,0.972486,3.43569e+179,6.00165e-67,1.53451e-52
0.0281,0.972388,1.89813e-52,6.82473e-38,2.89881e-57
0.0282,0.972291,1.80641e-259,4.17633e-62,3.22524e-86
0.0283,0.972194,1.2182e-76,8.52244e-96,2.90702e-33
0.0284,0.972097,1.1796e-95,2.95321e+179,3.45303e-86
0.0285,0.971999,3.75988e+179,2.10695e-52,2.34148e-57
0.0286,0.971902,2.17463e-76,3.22524e-86,2.00335e-52
0.0287,0.971805,8.98878e-96,1.12913e-42,3.6541e-86
0.0288,0.971708,3.11404e+179,2.40494e-57,7.75259e-72
0.0289,0.971611,6.00165e-67,9.04783e-43,6.74638e-67
0.029,0.971514,6.82473e-38,3.93801e-62,3.69848e-57
0.0291,0.971416,1.5701e-76,1.03318e-47,5.15437e-62
0.0292,0.971319,7.59525e-96,7.69908e-43,7.98365e-72
0.0293,0.971222,3.11215e+179,1.02986e-71,5.20363e-90
0.0294,0.971125,2.52456e-52,2.90255e-57,1.10791e-47
0.0295,0.971028,1.56093e-259,1.4511e-47,2.82793e-77
0.0296,0.970931,1.21854e-76,1.57712e-52,2.90702e-33
0.0297,0.970834,9.457e-96,4.90484e-62,1.57712e-52
0.0298,0.970737,3.60093e+179,4.01709e-57,4.90484e-62
0.0299,0.97064,5.87794e-62,1.30353e-76,4.08658e+179
0.03,0.970543,8.98878e-96,1.12913e-42,6.74351e-67
0.0301,0.970446,3.27551e+179,1.57712e-52,1.80641e-259
0.0302,0.970348,6.00165e-67,4.90484e-62,1.21736e-76
0.0303,0.970251,6.82473e-38,5.39368e-62,8.52613e-96
0.0304,0.970154,4.17633e-62,2.91002e-33,4.08596e+179
0.0305,0.970057,8.52244e-96,1.7227e-47,3.93325e-62
0.0306,0.96996,2.95321e+179,8.98698e-96,8.52244e-96
0.0307,0.969863,2.10695e-52,2.10776e-52,3.11089e+179
0.0308,0.969766,3.22524e-86,9.74595e-72,6.00165e-67
0.0309,0.969669,1.12913e-42,6.77455e-43,1.04137e-42
0.031,0.969573,2.40494e-57,4.90484e-62,1.57009e-76
0.0311,0.969476,9.04783e-43,1.20032e-71,8.05976e-96
0.0312,0.969379,3.93801e-62,3.22525e-86,3.27676e+179
0.0313,0.969282,1.03318e-47,2.90702e-33,1.74282e-76
0.0314,0.969185,7.69908e-43,3.85518e-86,1.88676e-259
0.0315,0.969088,1.02986e-71,4.31926e-38,1.2177e-76
0.0316,0.968991,2.90255e-57,1.6578e-76,1.0867e-95
0.0317,0.968894,1.4511e-47,4.4584e-86,2.7905e+179
0.0318,0.968797,1.57712e-52,1.00566e-47,9.49764e-43
0.0319,0.9687,4.90484e-62,1.89976e-52,8.52427e-96
0.032,0.968603,4.01709e-57,3.85778e-57,3.11531e+179
0.0321,0.968507,1.30353e-76,2.00259e-76,6.00165e-67
0.0322,0.96841,1.12913e-42,4.25732e-86,1.58901e-47
0.0323,0.968313,1.57712e-52,1.00565e-47,2.10694e-52
0.0324,0.968216,4.90484e-62,9.05628e-43,1.04024e-95
0.0325,0.968119,5.39368e-62,3.22525e-86,3.9207e+179
0.0326,0.968022,2.91002e-33,2.90702e-33,2.90814e-33
0.0327,0.967926,1.7227e-47,3.85516e-86,8.22603e-67
0.0328,0.967829,8.98698e-96,4.31927e-38,9.92515e-96
0.0329,0.967732,2.10776e-52,7.70924e-43,8.61262e-67
0.033,0.967635,9.74595e-72,4.05624e-86,5.93396e-38
0.0331,0.967539,6.77455e-43,1.00565e-47,5.59943e-67
0.0332,0.967442,4.90484e-62,8.15939e-43,1.58586e-47
